nct_id,term,outcome,model_type,0,1,2,3,4,5,6,7,8,9,10,11
NCT00466167,inter,eq5d_index,sp,0.32 (0.04),0.324 (0.038),0.326 (0.038),0.323 (0.038),0.314 (0.039),0.3 (0.041),0.284 (0.046),,0.249 (0.066),,,
NCT00466167,inter,eq5d_index,sq,0.314 (0.04),0.324 (0.038),0.327 (0.038),0.323 (0.038),0.313 (0.038),0.294 (0.041),0.269 (0.048),,0.198 (0.078),,,
NCT00558259,como,eq5d_index,sp,0.236 (0.017),0.233 (0.017),0.231 (0.017),0.228 (0.017),0.225 (0.017),0.222 (0.017),0.219 (0.017),0.217 (0.017),,,,
NCT00558259,como,eq5d_index,sq,0.237 (0.017),0.233 (0.017),0.229 (0.017),0.227 (0.017),0.225 (0.017),0.225 (0.017),0.225 (0.019),0.226 (0.022),,,,
NCT00558259,inter,eq5d_index,sp,0.234 (0.018),0.232 (0.017),0.229 (0.017),0.227 (0.017),0.224 (0.017),0.222 (0.017),0.22 (0.018),0.217 (0.018),,,,
NCT00558259,inter,eq5d_index,sq,0.234 (0.018),0.231 (0.017),0.229 (0.017),0.226 (0.017),0.224 (0.017),0.223 (0.018),0.222 (0.022),0.221 (0.028),,,,
NCT00670501,como,eq5d_index,sp,,0.252 (0.038),0.248 (0.038),0.245 (0.037),0.241 (0.037),0.238 (0.038),0.235 (0.038),0.231 (0.039),,,,
NCT00670501,como,eq5d_index,sq,,0.253 (0.038),0.247 (0.038),0.243 (0.038),0.24 (0.037),0.239 (0.038),0.238 (0.039),0.239 (0.045),,,,
NCT00670501,inter,eq5d_index,sp,,0.247 (0.039),0.245 (0.038),0.242 (0.038),0.239 (0.038),0.237 (0.039),0.234 (0.04),0.231 (0.042),,,,
NCT00670501,inter,eq5d_index,sq,,0.248 (0.039),0.245 (0.039),0.243 (0.039),0.24 (0.039),0.237 (0.039),0.234 (0.043),0.23 (0.052),,,,
NCT00680186,como,eq5d_index,sp,0.687 (0.015),0.678 (0.015),0.67 (0.015),0.661 (0.015),0.652 (0.015),0.644 (0.015),0.635 (0.016),0.626 (0.016),0.618 (0.017),,,
NCT00680186,como,eq5d_index,sq,0.689 (0.015),0.678 (0.015),0.669 (0.015),0.661 (0.015),0.654 (0.015),0.648 (0.017),0.644 (0.02),0.641 (0.025),0.638 (0.033),,,
NCT00680186,inter,eq5d_index,sp,0.684 (0.016),0.676 (0.015),0.668 (0.015),0.659 (0.015),0.651 (0.016),0.643 (0.016),0.635 (0.017),0.626 (0.019),0.618 (0.02),,,
NCT00680186,inter,eq5d_index,sq,0.684 (0.016),0.676 (0.015),0.668 (0.015),0.659 (0.015),0.651 (0.016),0.643 (0.019),0.634 (0.025),0.626 (0.034),0.617 (0.045),,,
NCT00734474,como,eq5d_index,sp,0.411 (0.035),0.404 (0.034),0.397 (0.034),0.38 (0.034),0.363 (0.034),0.364 (0.036),0.379 (0.043),,,,,
NCT00734474,como,eq5d_index,sq,0.411 (0.035),0.402 (0.034),0.392 (0.034),0.383 (0.034),0.373 (0.034),0.363 (0.036),0.354 (0.04),,,,,
NCT00734474,inter,eq5d_index,sp,0.41 (0.035),0.399 (0.034),0.388 (0.034),0.375 (0.034),0.362 (0.035),0.348 (0.036),0.335 (0.039),,,,,
NCT00734474,inter,eq5d_index,sq,0.404 (0.035),0.398 (0.034),0.388 (0.034),0.374 (0.034),0.356 (0.036),0.333 (0.04),0.307 (0.049),,,,,
NCT01064687,como,eq5d_index,sp,0.345 (0.054),0.352 (0.052),0.339 (0.051),0.339 (0.05),0.361 (0.05),0.358 (0.052),0.315 (0.057),0.256 (0.072),,,,
NCT01064687,como,eq5d_index,sq,0.346 (0.054),0.346 (0.052),0.345 (0.051),0.344 (0.051),0.343 (0.05),0.341 (0.051),0.338 (0.054),0.336 (0.062),,,,
NCT01064687,inter,eq5d_index,sp,0.342 (0.053),0.34 (0.052),0.339 (0.051),0.337 (0.05),0.336 (0.05),0.334 (0.05),0.333 (0.05),0.331 (0.05),,,,
NCT01064687,inter,eq5d_index,sq,0.341 (0.054),0.34 (0.052),0.339 (0.051),0.337 (0.051),0.336 (0.05),0.334 (0.051),0.331 (0.054),0.329 (0.062),,,,
NCT01075282,como,eq5d_index,sp,0.436 (0.035),0.431 (0.034),0.425 (0.034),0.42 (0.034),0.414 (0.034),0.409 (0.035),0.403 (0.035),,,,,
NCT01075282,como,eq5d_index,sq,0.441 (0.035),0.431 (0.034),0.424 (0.034),0.42 (0.034),0.42 (0.035),0.422 (0.037),0.428 (0.044),,,,,
NCT01075282,inter,eq5d_index,sp,0.447 (0.035),0.441 (0.034),0.436 (0.034),0.435 (0.034),0.437 (0.035),0.443 (0.038),0.449 (0.043),,,,,
NCT01075282,inter,eq5d_index,sq,0.452 (0.035),0.439 (0.034),0.433 (0.034),0.434 (0.034),0.442 (0.035),0.457 (0.04),0.479 (0.049),,,,,
NCT01164501,como,eq5d_index,sp,0.32 (0.029),0.316 (0.028),0.311 (0.028),0.307 (0.028),0.303 (0.027),0.298 (0.027),0.294 (0.027),0.289 (0.028),0.285 (0.028),,,
NCT01164501,como,eq5d_index,sq,0.322 (0.029),0.315 (0.028),0.309 (0.028),0.305 (0.028),0.302 (0.027),0.301 (0.028),0.302 (0.029),0.304 (0.031),0.307 (0.036),,,
NCT01164501,inter,eq5d_index,sp,0.325 (0.029),0.322 (0.028),0.319 (0.028),0.316 (0.028),0.312 (0.028),0.309 (0.028),0.306 (0.029),0.303 (0.029),0.3 (0.03),,,
NCT01164501,inter,eq5d_index,sq,0.327 (0.029),0.321 (0.028),0.317 (0.028),0.314 (0.028),0.312 (0.028),0.311 (0.028),0.312 (0.03),0.313 (0.034),0.316 (0.04),,,
NCT01191268,como,eq5d_index,sp,0.264 (0.031),0.259 (0.03),0.254 (0.03),0.248 (0.03),0.241 (0.03),0.234 (0.03),0.227 (0.03),0.219 (0.031),0.212 (0.032),,,
NCT01191268,como,eq5d_index,sq,0.264 (0.031),0.263 (0.03),0.259 (0.03),0.253 (0.03),0.245 (0.03),0.235 (0.03),0.222 (0.03),0.207 (0.032),0.19 (0.037),,,
NCT01191268,inter,eq5d_index,sp,0.259 (0.031),0.261 (0.03),0.26 (0.03),0.255 (0.03),0.246 (0.03),0.232 (0.031),0.218 (0.033),0.203 (0.037),0.188 (0.045),,,
NCT01191268,inter,eq5d_index,sq,0.257 (0.031),0.263 (0.031),0.263 (0.03),0.258 (0.03),0.248 (0.03),0.232 (0.031),0.21 (0.033),0.183 (0.039),0.15 (0.049),,,
NCT01209702,como,eq5d_index,sp,,0.446 (0.064),0.438 (0.063),0.43 (0.063),0.422 (0.063),0.414 (0.063),,0.398 (0.066),,,,
NCT01209702,como,eq5d_index,sq,,0.435 (0.067),0.432 (0.064),0.425 (0.063),0.416 (0.063),0.403 (0.066),,0.366 (0.083),,,,
NCT01209702,inter,eq5d_index,sp,,0.448 (0.063),0.438 (0.062),0.428 (0.061),0.418 (0.062),0.408 (0.064),,0.388 (0.072),,,,
NCT01209702,inter,eq5d_index,sq,,0.434 (0.067),0.427 (0.063),0.417 (0.062),0.404 (0.066),0.388 (0.085),,0.347 (0.185),,,,
NCT01264939,como,eq5d_index,sp,0.517 (0.047),0.509 (0.046),0.501 (0.045),0.493 (0.044),0.485 (0.044),0.477 (0.044),0.469 (0.044),0.461 (0.044),,,,
NCT01264939,como,eq5d_index,sq,0.523 (0.048),0.509 (0.046),0.498 (0.045),0.489 (0.045),0.483 (0.044),0.478 (0.044),0.477 (0.046),0.477 (0.052),,,,
NCT01264939,inter,eq5d_index,sp,0.52 (0.047),0.509 (0.046),0.498 (0.045),0.487 (0.044),0.476 (0.044),0.465 (0.044),0.454 (0.045),0.443 (0.045),,,,
NCT01264939,inter,eq5d_index,sq,0.516 (0.048),0.508 (0.046),0.499 (0.045),0.488 (0.045),0.476 (0.044),0.464 (0.044),0.449 (0.047),0.434 (0.055),,,,
NCT01287117,como,eq5d_index,sp,0.657 (0.067),0.647 (0.066),0.636 (0.065),0.626 (0.065),0.615 (0.065),0.605 (0.066),0.594 (0.067),0.584 (0.068),,,,
NCT01287117,como,eq5d_index,sq,0.657 (0.067),0.645 (0.066),0.633 (0.066),0.623 (0.066),0.615 (0.066),0.607 (0.066),0.6 (0.07),0.595 (0.08),,,,
NCT01287117,inter,eq5d_index,sp,0.664 (0.066),0.662 (0.065),0.66 (0.064),0.657 (0.064),0.655 (0.064),0.653 (0.065),0.65 (0.067),0.648 (0.069),,,,
NCT01287117,inter,eq5d_index,sq,0.664 (0.067),0.662 (0.066),0.66 (0.066),0.658 (0.066),0.655 (0.065),0.652 (0.066),0.649 (0.071),0.645 (0.084),,,,
NCT01292473,como,eq5d_index,sp,0.625 (0.072),0.614 (0.071),0.603 (0.07),0.592 (0.07),0.581 (0.07),0.57 (0.071),,,,,,
NCT01292473,como,eq5d_index,sq,0.625 (0.072),0.622 (0.072),0.613 (0.071),0.597 (0.07),0.576 (0.07),0.548 (0.075),,,,,,
NCT01292473,inter,eq5d_index,sp,0.634 (0.072),0.625 (0.071),0.617 (0.071),0.608 (0.071),0.599 (0.073),0.591 (0.075),,,,,,
NCT01292473,inter,eq5d_index,sq,0.63 (0.072),0.623 (0.073),0.615 (0.073),0.606 (0.072),0.596 (0.073),0.586 (0.082),,,,,,
NCT01335464,como,eq5d_index,sp,0.299 (0.034),0.294 (0.034),0.289 (0.034),0.284 (0.033),0.279 (0.033),0.273 (0.033),0.268 (0.033),0.263 (0.033),0.258 (0.033),,0.247 (0.034),
NCT01335464,como,eq5d_index,sq,0.307 (0.035),0.297 (0.034),0.289 (0.034),0.283 (0.033),0.278 (0.033),0.274 (0.033),0.272 (0.033),0.272 (0.034),0.272 (0.036),,0.278 (0.046),
NCT01335464,inter,eq5d_index,sp,0.312 (0.036),0.301 (0.034),0.291 (0.034),0.284 (0.033),0.28 (0.033),0.278 (0.033),0.279 (0.033),0.281 (0.034),0.284 (0.036),,0.29 (0.046),
NCT01335464,inter,eq5d_index,sq,0.315 (0.036),0.301 (0.034),0.29 (0.034),0.282 (0.033),0.277 (0.033),0.276 (0.033),0.278 (0.033),0.283 (0.035),0.292 (0.037),,0.319 (0.05),
NCT01335477,como,eq5d_index,sp,0.28 (0.035),0.263 (0.035),0.253 (0.035),0.253 (0.034),0.256 (0.034),0.256 (0.034),0.25 (0.034),0.241 (0.034),0.23 (0.036),0.218 (0.044),,
NCT01335477,como,eq5d_index,sq,0.273 (0.035),0.265 (0.035),0.259 (0.035),0.254 (0.035),0.25 (0.034),0.248 (0.034),0.246 (0.033),0.246 (0.034),0.248 (0.036),0.25 (0.04),,
NCT01335477,inter,eq5d_index,sp,0.27 (0.036),0.269 (0.035),0.268 (0.034),0.266 (0.034),0.265 (0.034),0.264 (0.034),0.263 (0.034),0.262 (0.034),0.261 (0.035),0.259 (0.035),,
NCT01335477,inter,eq5d_index,sq,0.255 (0.037),0.26 (0.035),0.262 (0.035),0.263 (0.035),0.261 (0.034),0.257 (0.034),0.251 (0.034),0.244 (0.036),0.234 (0.04),0.222 (0.048),,
NCT01358578,como,eq5d_index,sp,0.648 (0.048),0.638 (0.047),0.627 (0.048),0.616 (0.049),0.606 (0.05),0.595 (0.053),,,,,,
NCT01358578,como,eq5d_index,sq,0.65 (0.048),0.637 (0.048),0.626 (0.048),0.619 (0.049),0.614 (0.054),0.613 (0.068),,,,,,
NCT01358578,inter,eq5d_index,sp,0.662 (0.046),0.651 (0.046),0.64 (0.046),0.628 (0.048),0.617 (0.05),0.606 (0.052),,,,,,
NCT01358578,inter,eq5d_index,sq,0.663 (0.047),0.651 (0.046),0.639 (0.047),0.63 (0.048),0.622 (0.053),0.616 (0.066),,,,,,
NCT01365455,como,eq5d_index,sp,0.6 (0.038),0.593 (0.037),0.586 (0.036),0.58 (0.036),0.573 (0.036),0.567 (0.037),0.56 (0.037),,,,,
NCT01365455,como,eq5d_index,sq,0.608 (0.04),0.598 (0.038),0.59 (0.037),0.585 (0.037),0.582 (0.039),0.582 (0.044),0.584 (0.054),,,,,
NCT01365455,inter,eq5d_index,sp,0.638 (0.036),0.629 (0.036),0.619 (0.035),0.61 (0.035),0.601 (0.035),0.592 (0.035),0.582 (0.036),,,,,
NCT01365455,inter,eq5d_index,sq,0.651 (0.039),0.639 (0.036),0.629 (0.036),0.621 (0.036),0.614 (0.037),0.609 (0.042),0.605 (0.052),,,,,
NCT01624259,como,eq5d_index,sp,0.369 (0.036),0.361 (0.035),0.351 (0.035),0.341 (0.034),0.329 (0.034),0.316 (0.034),0.302 (0.035),0.288 (0.038),,,,
NCT01624259,como,eq5d_index,sq,0.367 (0.036),0.363 (0.035),0.355 (0.035),0.343 (0.034),0.327 (0.034),0.308 (0.035),0.284 (0.038),0.257 (0.044),,,,
NCT01624259,inter,eq5d_index,sp,0.374 (0.036),0.362 (0.035),0.35 (0.035),0.338 (0.034),0.326 (0.034),0.315 (0.035),0.303 (0.035),0.291 (0.036),,,,
NCT01624259,inter,eq5d_index,sq,0.375 (0.036),0.365 (0.035),0.353 (0.035),0.341 (0.034),0.327 (0.034),0.313 (0.037),0.297 (0.045),0.28 (0.058),,,,
NCT01646177,como,eq5d_index,sp,,,0.515 (0.029),0.501 (0.027),0.486 (0.026),0.472 (0.026),0.457 (0.027),0.443 (0.029),,0.414 (0.035),,
NCT01646177,como,eq5d_index,sq,,,0.515 (0.029),0.5 (0.028),0.486 (0.027),0.472 (0.027),0.458 (0.028),0.444 (0.035),,0.416 (0.071),,
NCT01646177,inter,eq5d_index,sp,,,0.553 (0.028),0.533 (0.027),0.514 (0.026),0.494 (0.026),0.475 (0.028),0.456 (0.031),,0.417 (0.039),,
NCT01646177,inter,eq5d_index,sq,,,0.552 (0.029),0.533 (0.027),0.514 (0.027),0.495 (0.027),0.475 (0.029),0.455 (0.037),,0.413 (0.075),,
NCT01719003,como,eq5d_index,sp,0.504 (0.052),0.499 (0.051),0.493 (0.051),0.487 (0.05),0.481 (0.05),0.475 (0.05),,,,,,
NCT01719003,como,eq5d_index,sq,0.503 (0.053),0.494 (0.052),0.488 (0.052),0.484 (0.051),0.482 (0.05),0.483 (0.053),,,,,,
NCT01719003,inter,eq5d_index,sp,0.496 (0.054),0.495 (0.052),0.494 (0.051),0.493 (0.052),0.493 (0.054),0.492 (0.057),,,,,,
NCT01719003,inter,eq5d_index,sq,0.488 (0.055),0.494 (0.053),0.492 (0.052),0.484 (0.054),0.469 (0.072),0.447 (0.114),,,,,,
NCT00106535,como,sf36_mcs,sp,17.1 (1.9),16.9 (1.7),16.7 (1.7),16.3 (1.7),15.6 (1.7),14.7 (1.8),13.7 (2),12.9 (2.4),12 (3),11 (3.7),,
NCT00106535,como,sf36_mcs,sq,16.7 (1.9),16.9 (1.7),16.8 (1.7),16.4 (1.7),15.7 (1.7),14.7 (1.8),13.5 (2.1),11.9 (2.7),10.1 (3.5),8 (4.7),,
NCT00106535,inter,sf36_mcs,sp,17 (2),17.2 (1.8),17.1 (1.8),16.6 (1.8),15.5 (1.9),14.1 (2.1),12.4 (2.6),10.8 (3.4),9.2 (4.5),7.8 (6),,
NCT00106535,inter,sf36_mcs,sq,16.6 (2.1),17.2 (1.8),17.3 (1.8),16.7 (1.8),15.6 (1.9),14 (2.1),11.7 (2.7),8.9 (3.8),5.5 (5.3),1.5 (7.3),,
NCT00125918,como,sf36_mcs,sp,14.3 (4.5),14 (4.3),13.7 (4.1),13.4 (4),13 (4),12.7 (4),12.4 (4.1),12 (4.3),11.7 (4.5),11.4 (4.7),,
NCT00125918,como,sf36_mcs,sq,13.5 (4.8),13.8 (4.3),13.8 (4.1),13.6 (4.1),13.3 (4),12.7 (4),12 (4.2),11 (4.7),9.9 (5.8),8.5 (7.4),,
NCT00125918,inter,sf36_mcs,sp,18.1 (4.8),17.2 (4.4),16.3 (4.2),15.4 (4),14.6 (4.1),13.7 (4.2),12.8 (4.5),11.9 (4.8),11 (5.3),10.1 (5.8),,
NCT00125918,inter,sf36_mcs,sq,16.8 (5.1),17.2 (4.5),17.1 (4.4),16.4 (4.3),15.3 (4.2),13.6 (4.2),11.5 (4.8),8.9 (6.4),5.7 (9.1),2.1 (12.6),,
NCT00410384,como,sf36_mcs,sp,8.8 (0.9),8.4 (0.8),8.1 (0.8),7.9 (0.8),7.7 (0.7),7.7 (0.7),7.7 (0.7),7.8 (0.7),7.9 (0.8),7.9 (0.8),8 (0.9),8 (1)
NCT00410384,como,sf36_mcs,sq,8.9 (0.9),8.5 (0.8),8.2 (0.8),7.9 (0.8),7.8 (0.7),7.7 (0.7),7.7 (0.7),7.8 (0.7),8 (0.8),8.2 (0.8),8.6 (0.9),9 (1)
NCT00410384,inter,sf36_mcs,sp,8.8 (0.9),8.5 (0.8),8.2 (0.8),7.9 (0.8),7.7 (0.8),7.7 (0.7),7.7 (0.7),7.7 (0.8),7.9 (0.8),8 (0.9),8.2 (1.1),8.4 (1.3)
NCT00410384,inter,sf36_mcs,sq,9.2 (0.9),8.6 (0.8),8.2 (0.8),7.9 (0.8),7.7 (0.8),7.7 (0.7),7.7 (0.7),7.9 (0.8),8.1 (0.8),8.5 (0.9),9 (1.1),9.6 (1.4)
NCT00424476,como,sf36_mcs,sp,10.2 (0.8),10 (0.8),9.9 (0.8),9.7 (0.8),9.5 (0.8),9.2 (0.8),8.9 (0.8),8.6 (0.8),8.3 (0.9),,,
NCT00424476,como,sf36_mcs,sq,10.1 (0.8),10 (0.8),9.9 (0.8),9.8 (0.8),9.5 (0.8),9.2 (0.8),8.9 (0.8),8.4 (0.8),8 (0.9),,,
NCT00424476,inter,sf36_mcs,sp,10.3 (0.8),10 (0.8),9.8 (0.8),9.7 (0.8),9.6 (0.8),9.2 (0.8),8.3 (0.8),6.8 (1.1),5.1 (1.6),,,
NCT00424476,inter,sf36_mcs,sq,10.1 (0.8),10.1 (0.8),10 (0.8),9.8 (0.8),9.5 (0.8),9.1 (0.8),8.5 (0.8),7.9 (1),7.1 (1.2),,,
NCT00472199,como,sf36_mcs,sp,21.2 (2.4),21.1 (2.2),21 (2.2),20.8 (2.2),20.7 (2.2),20.6 (2.3),20.5 (2.4),20.4 (2.6),20.3 (2.8),20.2 (3),,
NCT00472199,como,sf36_mcs,sq,20.6 (2.5),21 (2.3),21.1 (2.2),21.1 (2.2),20.8 (2.2),20.4 (2.3),19.7 (2.6),18.8 (3.2),17.7 (4.2),16.4 (5.4),,
NCT00472199,inter,sf36_mcs,sp,21.4 (2.4),21.5 (2.3),21.6 (2.2),21.7 (2.2),21.8 (2.3),21.9 (2.5),22 (2.7),22.1 (2.9),22.2 (3.2),22.3 (3.5),,
