nct_id,parameter,arm,sex,como_cnt,age_std_m,base_m,age_std_s,base_s,participants
NCT00783718,sf36_mcs,1,0,2,-1.01,37.522,0.912,7.445,58
NCT00783718,sf36_mcs,1,1,0,-1.605,41.194,0.802,6.982,127
NCT00783718,sf36_mcs,1,1,1,-1.462,41.504,0.858,5.973,97
NCT00783718,sf36_mcs,1,1,2,-0.735,41.213,0.829,6.566,69
NCT00783718,sf36_pcs,0,0,0,-1.617,43.121,0.589,4.653,23
NCT00783718,sf36_pcs,0,0,1,-1.095,45.009,0.883,4.89,21
NCT00783718,sf36_pcs,0,0,2,-0.656,42.494,1.012,5.635,13
NCT00783718,sf36_pcs,0,1,0,-1.557,44.935,0.729,5.145,45
NCT00783718,sf36_pcs,0,1,1,-1.208,43.417,0.929,5.253,24
NCT00783718,sf36_pcs,0,1,2,-1.032,42.632,0.677,6.072,23
NCT00783718,sf36_pcs,1,0,0,-1.589,43.791,0.702,4.618,95
NCT00783718,sf36_pcs,1,0,1,-1.518,40.99,0.893,4.821,51
NCT00783718,sf36_pcs,1,0,2,-1.01,41.29,0.912,5.123,58
NCT00783718,sf36_pcs,1,1,0,-1.605,45.331,0.802,4.569,127
NCT00783718,sf36_pcs,1,1,1,-1.462,45.149,0.858,4.163,97
NCT00783718,sf36_pcs,1,1,2,-0.735,44.549,0.829,5.33,69
NCT01007435,sf36_mcs,0,0,0,-0.984,50.871,0.836,13.356,89
NCT01007435,sf36_mcs,0,0,1,-0.725,47.905,0.887,13.375,71
NCT01007435,sf36_mcs,0,0,2,-0.435,48.119,0.817,14.228,69
NCT01007435,sf36_mcs,0,1,0,-0.667,53.99,0.786,13.084,19
NCT01007435,sf36_mcs,0,1,1,-0.686,44.713,0.906,15.802,21
NCT01007435,sf36_mcs,0,1,2,-0.185,50.103,0.828,18.045,18
NCT01007435,sf36_mcs,1,0,0,-0.83,52.044,0.872,15.267,275
NCT01007435,sf36_mcs,1,0,1,-0.686,49.273,0.907,14.583,91
NCT01007435,sf36_mcs,1,0,2,-0.232,50.293,0.831,13.939,59
NCT01007435,sf36_mcs,1,1,0,-0.644,55.131,0.78,13.079,62
NCT01007435,sf36_mcs,1,1,1,-0.367,45.671,0.762,12.014,18
NCT01007435,sf36_mcs,1,1,2,-0.348,49.999,0.772,15.315,22
NCT01007435,sf36_pcs,0,0,0,-0.984,44.392,0.836,11.21,89
NCT01007435,sf36_pcs,0,0,1,-0.725,42.812,0.887,10.283,71
NCT01007435,sf36_pcs,0,0,2,-0.435,42.571,0.817,11.634,69
NCT01007435,sf36_pcs,0,1,0,-0.667,46.905,0.786,10.469,19
NCT01007435,sf36_pcs,0,1,1,-0.686,41.881,0.906,13.017,21
NCT01007435,sf36_pcs,0,1,2,-0.185,41.688,0.828,12.646,18
NCT01007435,sf36_pcs,1,0,0,-0.83,49.255,0.872,14.274,275
NCT01007435,sf36_pcs,1,0,1,-0.686,42.938,0.907,13.304,91
NCT01007435,sf36_pcs,1,0,2,-0.232,41.452,0.831,9.516,59
NCT01007435,sf36_pcs,1,1,0,-0.644,50.228,0.78,12.965,62
NCT01007435,sf36_pcs,1,1,1,-0.367,41.361,0.762,9.22,18
NCT01007435,sf36_pcs,1,1,2,-0.348,43.406,0.772,13.93,22
NCT01119859,sf36_mcs,0,0,0,-0.87,50.455,1.029,14.785,22
NCT01119859,sf36_mcs,0,0,1,-0.727,44.251,0.843,15.916,50
NCT01119859,sf36_mcs,0,0,2,-0.168,43.026,0.663,12.026,61
NCT01119859,sf36_mcs,0,1,0,-0.619,57.941,0.504,11.987,7
NCT01119859,sf36_mcs,0,1,1,-0.3,40.211,0.611,16.515,6
NCT01119859,sf36_mcs,0,1,2,-0.029,50.128,0.735,14.682,16
NCT01119859,sf36_mcs,1,0,0,-0.808,50.062,0.78,11.14,25
NCT01119859,sf36_mcs,1,0,1,-0.362,46.629,0.769,12.955,53
NCT01119859,sf36_mcs,1,0,2,-0.182,41.824,0.918,11.179,51
NCT01119859,sf36_mcs,1,1,0,-0.956,52.623,0.737,9.941,9
NCT01119859,sf36_mcs,1,1,1,-0.111,54.389,0.912,14.058,9
NCT01119859,sf36_mcs,1,1,2,-0.146,46.5,0.867,19.179,16
NCT01119859,sf36_pcs,0,0,0,-0.87,44.685,1.029,11.598,22
NCT01119859,sf36_pcs,0,0,1,-0.727,41.362,0.843,14.124,50
NCT01119859,sf36_pcs,0,0,2,-0.168,35.368,0.663,11.071,61
NCT01119859,sf36_pcs,0,1,0,-0.619,42.907,0.504,12.182,7
NCT01119859,sf36_pcs,0,1,1,-0.3,35.923,0.611,8.833,6
NCT01119859,sf36_pcs,0,1,2,-0.029,42,0.735,12.965,16
NCT01119859,sf36_pcs,1,0,0,-0.808,43.948,0.78,13.607,25
NCT01119859,sf36_pcs,1,0,1,-0.362,40.762,0.769,11.571,53
NCT01119859,sf36_pcs,1,0,2,-0.182,35.886,0.918,9.272,51
NCT01119859,sf36_pcs,1,1,0,-0.956,44.823,0.737,8.896,9
NCT01119859,sf36_pcs,1,1,1,-0.111,49.456,0.912,11.203,9
NCT01119859,sf36_pcs,1,1,2,-0.146,38.728,0.867,9.794,16
NCT01209702,sf36_mcs,0,0,0,-1.438,39.072,0.564,5.445,7
NCT01209702,sf36_mcs,0,0,1,-0.267,64.438,0,0,1
NCT01209702,sf36_mcs,0,0,2,-0.311,54.636,0.684,15.683,3
NCT01209702,sf36_mcs,0,1,0,-1.677,47.281,0.67,9.59,20
NCT01209702,sf36_mcs,0,1,1,-1.05,46.096,0.431,14.635,12
NCT01209702,sf36_mcs,0,1,2,-0.175,42.366,0.874,20.402,8
NCT01209702,sf36_mcs,1,0,0,-1.317,41.807,0.68,8.342,8
NCT01209702,sf36_mcs,1,0,1,-1.089,43.069,1.067,6.943,3
NCT01209702,sf36_mcs,1,0,2,-0.733,41.765,0.977,20.897,4
NCT01209702,sf36_mcs,1,1,0,-1.409,48.562,0.582,13.613,23
NCT01209702,sf36_mcs,1,1,1,-1.275,47.503,0.88,9.266,8
NCT01209702,sf36_mcs,1,1,2,-0.653,34.106,0.896,5.541,5
NCT01209702,sf36_pcs,0,0,0,-1.438,39.029,0.564,10.201,7
NCT01209702,sf36_pcs,0,0,1,-0.267,68.762,0,0,1
NCT01209702,sf36_pcs,0,0,2,-0.311,43.299,0.684,15.098,3
NCT01209702,sf36_pcs,0,1,0,-1.677,45.033,0.67,10.637,20
NCT01209702,sf36_pcs,0,1,1,-1.05,40.921,0.431,8.214,12
NCT01209702,sf36_pcs,0,1,2,-0.175,38.977,0.874,11.103,8
NCT01209702,sf36_pcs,1,0,0,-1.317,40.704,0.68,11.55,8
NCT01209702,sf36_pcs,1,0,1,-1.089,43.131,1.067,3.556,3
NCT01209702,sf36_pcs,1,0,2,-0.733,36.334,0.977,11.627,4
NCT01209702,sf36_pcs,1,1,0,-1.409,46.373,0.582,14.093,23
NCT01209702,sf36_pcs,1,1,1,-1.275,44.264,0.88,9.701,8
NCT01209702,sf36_pcs,1,1,2,-0.653,30.042,0.896,9.92,5
NCT01224171,sf36_mcs,0,0,0,-1.767,38.524,0.738,5.995,32
NCT01224171,sf36_mcs,0,0,1,-1.703,38.293,0.824,6.415,42
NCT01224171,sf36_mcs,0,0,2,-1.024,35.571,0.899,6.089,44
NCT01224171,sf36_mcs,0,1,0,-1.696,40.287,0.731,5.467,34
NCT01224171,sf36_mcs,0,1,1,-1.832,39.235,0.792,7.056,37
NCT01224171,sf36_mcs,0,1,2,-1.293,38.927,1.078,6.708,18
NCT01224171,sf36_mcs,1,0,0,-1.708,38.755,0.721,7.584,32
NCT01224171,sf36_mcs,1,0,1,-1.665,39.31,0.712,6.928,43
NCT01224171,sf36_mcs,1,0,2,-1.11,36.356,0.814,6.526,43
NCT01224171,sf36_mcs,1,1,0,-1.615,41.801,0.685,8.868,36
NCT01224171,sf36_mcs,1,1,1,-1.615,38.402,0.758,7.157,31
NCT01224171,sf36_mcs,1,1,2,-0.914,38.832,0.939,8.109,24
NCT01224171,sf36_pcs,0,0,0,-1.767,43.499,0.738,4.502,32
NCT01224171,sf36_pcs,0,0,1,-1.703,41.426,0.824,4.422,42
NCT01224171,sf36_pcs,0,0,2,-1.024,38.331,0.899,4.698,44
NCT01224171,sf36_pcs,0,1,0,-1.696,43.302,0.731,4.434,34
NCT01224171,sf36_pcs,0,1,1,-1.832,43.469,0.792,4.751,37
NCT01224171,sf36_pcs,0,1,2,-1.293,41.883,1.078,5.716,18
NCT01224171,sf36_pcs,1,0,0,-1.708,41.592,0.721,4.865,32
NCT01224171,sf36_pcs,1,0,1,-1.665,41.549,0.712,5.819,43
NCT01224171,sf36_pcs,1,0,2,-1.11,39.694,0.814,4.765,43
NCT01224171,sf36_pcs,1,1,0,-1.615,44.34,0.685,5.725,36
NCT01224171,sf36_pcs,1,1,1,-1.615,42.364,0.758,4.771,31
NCT01224171,sf36_pcs,1,1,2,-0.914,42.274,0.939,5.388,24
NCT01232569,sf36_mcs,0,0,0,-1.078,47.205,0.815,13.675,53
NCT01232569,sf36_mcs,0,0,1,-0.544,47.836,0.682,10.656,56
NCT01232569,sf36_mcs,0,0,2,-0.188,46.219,0.596,10.926,72
NCT01232569,sf36_mcs,0,1,0,-0.903,52.149,0.921,15.704,11
NCT01232569,sf36_mcs,0,1,1,-0.267,52.656,0.729,16.709,15
NCT01232569,sf36_mcs,0,1,2,-0.2,47.159,0.55,14.201,12
NCT01232569,sf36_mcs,1,0,0,-0.879,46.649,0.745,13.892,116
NCT01232569,sf36_mcs,1,0,1,-0.58,47.476,0.744,13.995,118
NCT01232569,sf36_mcs,1,0,2,-0.28,43.548,0.693,12.633,141
NCT01232569,sf36_mcs,1,1,0,-0.637,50.056,0.796,13.476,25
NCT01232569,sf36_mcs,1,1,1,-0.279,49.171,0.545,11.366,21
NCT01232569,sf36_mcs,1,1,2,0.183,51.357,0.531,12.419,16
NCT01232569,sf36_pcs,0,0,0,-1.078,43.974,0.815,11.385,53
NCT01232569,sf36_pcs,0,0,1,-0.544,41.44,0.682,9.904,56
NCT01232569,sf36_pcs,0,0,2,-0.188,40.089,0.596,9.048,72
NCT01232569,sf36_pcs,0,1,0,-0.903,42.528,0.921,13.73,11
NCT01232569,sf36_pcs,0,1,1,-0.267,44.913,0.729,13.848,15
NCT01232569,sf36_pcs,0,1,2,-0.2,38.679,0.55,12.027,12
NCT01232569,sf36_pcs,1,0,0,-0.879,41.708,0.745,11.769,116
NCT01232569,sf36_pcs,1,0,1,-0.58,40.994,0.744,12.434,118
NCT01232569,sf36_pcs,1,0,2,-0.28,37.689,0.693,10.047,141
NCT01232569,sf36_pcs,1,1,0,-0.637,41.728,0.796,9.799,25
NCT01232569,sf36_pcs,1,1,1,-0.279,45.811,0.545,9.927,21
NCT01232569,sf36_pcs,1,1,2,0.183,43.925,0.531,11.834,16
NCT01646177,sf36_mcs,0,0,0,-1.057,55.857,0.761,16.301,20
NCT01646177,sf36_mcs,0,0,1,-0.654,62.37,0.722,10.537,16
